Ticker;CÓDIGO;EMPRESA;SETOR ECONÔMICO;SUBSETOR;SEGMENTO
FESA4.SA;FESA;FERBASA     ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
FESA3.SA;FESA;FERBASA     ;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
ROMI3.SA;ROMI;ROMI   ;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
BLAU3.SA;BLAU;BLAU;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
ETER3.SA;ETER;ETERNIT     ;Bens Industriais;Construção e Engenharia;Produtos para Construção
ALPK3.SA;ALPK;ESTAPAR;Bens Industriais;Serviços Diversos;Serviços Diversos
FRAS3.SA;FRAS;FRAS-LE     ;Bens Industriais;Material de Transporte;Material Rodoviário
LOGG3.SA;LOGG;LOG COM PROP;Financeiro;Exploração de Imóveis;Exploração de Imóveis
TAEE4.SA;TAEE;TAESA       ;Utilidade Pública;Energia Elétrica;Energia Elétrica
TAEE3.SA;TAEE;TAESA       ;Utilidade Pública;Energia Elétrica;Energia Elétrica
VVEO3.SA;VVEO;VIVEO;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
SGPS3.SA;SGPS;SPRINGS     ;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos
SHOW3.SA;SHOW;TIME FOR FUN;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows
TFCO4.SA;TFCO;TRACK FIELD;Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos
INEP3.SA;INEP;INEPAR      ;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
INEP4.SA;INEP;INEPAR      ;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
LPSB3.SA;LPSB;LOPES BRASIL;Financeiro;Exploração de Imóveis;Intermediação Imobiliária
TPIS3.SA;TPIS;TRIUNFO PART;Bens Industriais;Transporte;Exploração de Rodovias
UNIP6.SA;UNIP;UNIPAR      ;Materiais Básicos;Químicos;Químicos Diversos
UNIP3.SA;UNIP;UNIPAR      ;Materiais Básicos;Químicos;Químicos Diversos
UNIP5.SA;UNIP;UNIPAR      ;Materiais Básicos;Químicos;Químicos Diversos
SYNE3.SA;SYNE;SYN PROP TEC;Financeiro;Exploração de Imóveis;Exploração de Imóveis
FIQE3.SA;FIQE;UNIFIQUE;Comunicações;Telecomunicações;Telecomunicações
HAGA4.SA;HAGA;HAGA S/A    ;Bens Industriais;Construção e Engenharia;Produtos para Construção
HAGA3.SA;HAGA;HAGA S/A    ;Bens Industriais;Construção e Engenharia;Produtos para Construção
FHER3.SA;FHER;FER HERINGER;Materiais Básicos;Químicos;Fertilizantes e Defensivos
FRTA3.SA;FRTA;POMIFRUTAS;Consumo não Cíclico;Agropecuária;Agricultura
LOGN3.SA;LOGN;LOG-IN      ;Bens Industriais;Transporte;Transporte Hidroviário
IGTI3.SA;IGTI;IGUATEMI S.A;Financeiro;Exploração de Imóveis;Exploração de Imóveis
IGTI3.SA;IGTI;IGUATEMI S.A;Financeiro;Exploração de Imóveis;Exploração de Imóveis
IGTI4.SA;IGTI;IGUATEMI S.A;Financeiro;Exploração de Imóveis;Exploração de Imóveis
IGTI4.SA;IGTI;IGUATEMI S.A;Financeiro;Exploração de Imóveis;Exploração de Imóveis
MELK3.SA;MELK;MELNICK;Consumo Cíclico;Construção Civil;Incorporações
TGMA3.SA;TGMA;TEGMA       ;Bens Industriais;Transporte;Transporte Rodoviário
AGXY3.SA;AGXY;AGROGALAXY;Consumo não Cíclico;Agropecuária;Agricultura
PDTC3.SA;PDTC;PADTEC;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
SANB3.SA;SANB;SANTANDER BR;Financeiro;Intermediários Financeiros;Bancos
SANB4.SA;SANB;SANTANDER BR;Financeiro;Intermediários Financeiros;Bancos
PDGR3.SA;PDGR;PDG REALT   ;Consumo Cíclico;Construção Civil;Incorporações
TCSA3.SA;TCSA;TECNISA     ;Consumo Cíclico;Construção Civil;Incorporações
VITT3.SA;VITT;VITTIA;Materiais Básicos;Químicos;Fertilizantes e Defensivos
RPMG3.SA;RPMG;PET MANGUINH;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
